site_id,issued_date,DATE,TIME,FLOW
BAKC2,2026-05-17,5/17/2026,12Z,175
BAKC2,2026-05-17,5/18/2026,12Z,144
BAKC2,2026-05-17,5/19/2026,12Z,99
BAKC2,2026-05-17,5/20/2026,12Z,80
BAKC2,2026-05-17,5/21/2026,12Z,75
BAKC2,2026-05-17,5/22/2026,12Z,72
BAKC2,2026-05-17,5/23/2026,12Z,78
BAKC2,2026-05-17,5/24/2026,12Z,96
BAKC2,2026-05-17,5/25/2026,12Z,118
BAKC2,2026-05-17,5/26/2026,12Z,124
