site_id,issued_date,DATE,TIME,FLOW
BAKC2,2026-05-27,5/27/2026,12Z,109
BAKC2,2026-05-27,5/28/2026,12Z,104
BAKC2,2026-05-27,5/29/2026,12Z,117
BAKC2,2026-05-27,5/30/2026,12Z,136
BAKC2,2026-05-27,5/31/2026,12Z,125
BAKC2,2026-05-27,6/1/2026,12Z,119
BAKC2,2026-05-27,6/2/2026,12Z,124
BAKC2,2026-05-27,6/3/2026,12Z,122
BAKC2,2026-05-27,6/4/2026,12Z,122
BAKC2,2026-05-27,6/5/2026,12Z,126
