date,mean_temp_ns,mean_temp_int
2024-05-31,12.467666666666666,11.189685185185185
2024-06-01,12.919833333333333,11.093518518518518
2024-06-02,12.798666666666668,11.392814814814814
2024-06-03,13.318,11.925148148148148
2024-06-04,13.079833333333333,12.367777777777778
2024-06-05,12.942666666666668,12.474185185185185
2024-06-06,13.866833333333332,11.913222222222222
2024-06-07,14.148666666666667,11.924203703703704
2024-06-08,12.822166666666666,11.855777777777778
2024-06-09,13.3355,11.067833333333333
2024-06-12,13.842,11.422759259259259
2024-06-13,13.943375,11.82625
2024-06-14,13.538833333333333,11.824851851851852
2024-06-15,13.903333333333334,11.690296296296296
2024-06-16,14.2935,12.309222222222221
2024-06-17,14.530833333333334,13.060407407407407
2024-06-18,14.1915,13.493148148148148
2024-06-19,14.185166666666667,13.257574074074075
2024-06-20,14.4535,13.406333333333333
2024-06-21,15.6685,14.036722222222222
2024-06-22,15.787333333333333,14.333074074074075
2024-06-23,16.166666666666668,14.362648148148148
2024-06-24,16.18,14.5855
2024-06-25,16.538833333333333,15.233
2024-06-26,16.613333333333333,15.563592592592594
2024-06-27,16.933500000000002,15.839555555555556
2024-06-28,17.088,16.008333333333333
2024-06-29,17.4315,16.03112962962963
2024-06-30,17.916666666666668,16.575166666666668
2024-07-01,18.291999999999998,16.724925925925927
2024-07-02,18.190285714285714,16.820444444444444
2024-07-03,18.4605,17.200698113207547
2024-07-04,18.320666666666668,17.22824074074074
2024-07-05,17.978833333333334,17.039716981132077
2024-07-06,17.9165,16.478555555555555
2024-07-07,17.390166666666666,15.633000000000001
2024-07-08,16.9595,15.337698113207548
2024-07-09,17.1575,14.69133962264151
2024-07-10,16.554666666666666,14.232962264150943
2024-07-11,16.736428571428572,14.117111111111111
2024-07-12,17.916,14.323666666666666
2024-07-13,18.179499999999997,14.227018518518518
2024-07-14,17.085,13.951592592592593
2024-07-15,17.306,14.311703703703703
2024-07-16,16.382666666666665,13.796018518518519
2024-07-17,15.583499999999999,13.577
2024-07-18,16.193,13.99062962962963
2024-07-19,15.9245,13.41774074074074
2024-07-20,15.195666666666666,13.595351851851852
2024-07-21,15.539,14.029296296296296
2024-07-22,14.852833333333333,14.022925925925925
2024-07-23,15.4955,13.545592592592593
2024-07-24,15.315999999999999,13.569055555555556
2024-07-25,15.83157142857143,13.453539682539683
2024-07-26,15.849499999999999,13.468777777777778
2024-07-27,15.892333333333333,13.695777777777778
2024-07-28,15.6745,14.07987037037037
2024-07-29,15.710166666666666,14.13437037037037
2024-07-30,15.834666666666667,14.025018518518518
2024-07-31,16.277,13.589222222222222
2024-08-01,16.825833333333332,13.416092592592593
2024-08-02,16.853166666666667,13.366907407407407
2024-08-03,16.914833333333334,13.662055555555556
2024-08-04,17.026,14.067111111111112
2024-08-05,16.5965,13.846314814814814
2024-08-06,16.9865,13.958
2024-08-07,17.262666666666668,14.027685185185184
2024-08-08,15.72942857142857,14.116790322580645
2024-08-09,15.840833333333332,13.562185185185186
