date,mean_1m_temp_degC,mean_0_5m_temp_degC,mean_1m_temp_degC_m1,mean_0_5m_temp_degC_m1,total_solar_radiation,total_solar_radiation_m1,mean_air_temp,min_air_temp,max_air_temp,mean_air_temp_m1,min_air_temp_m1,max_air_temp_m1,mean_rel_hum_m1,pump_cfs_m1,mean_wind,max_wind,mean_wind_m1,max_wind_m1,nf_cfs_m1,chipmunk_cfs_m1
2014-06-12,-2.027603711052714,-1.8853490076825872,-2.0795755571522108,-1.8419959447280312,1.501460686941031,-0.7115951405741302,0.17148115284125234,-0.2902567100433045,0.22665798525809605,0.27164682673940566,0.3226649618484246,-0.02163034401595314,-0.4987147189832544,-0.8701765874092859,0.9628484667693812,0.9654742047156204,1.3912806631949362,0.3296163363454774,2.8599832755024397,-2.0680502493886466
2014-06-17,-1.2510831869778765,-0.9388824474454078,-1.7952589873137863,-1.2453855083919965,1.6230440486161457,1.4417366285975215,0.4824352568086799,-0.1150152928035419,0.5547963233399416,0.12524767491785577,-0.5124831449488001,0.12179835105012396,-1.4572656472004608,-0.8701765874092859,0.8180340126204372,0.6993757018178629,1.7197089158119754,1.44316910750798,2.483531148944851,-1.6742873564475107
2014-06-18,-1.4847866517913004,-0.8878829104317648,-1.2510831869778765,-0.9388824474454078,0.8042403970045028,1.6230440486161457,-0.02992060495149885,-0.00453700802195297,-0.21266772357875308,0.4824352568086799,-0.1150152928035419,0.5547963233399416,-1.6517105831214385,-0.8701765874092859,1.4710652303864298,0.43327719892010547,0.8180340126204372,0.6993757018178629,2.3701937462172,-1.0961086011298775
2014-06-19,-1.4069987252763676,-0.9920289117001608,-1.4847866517913004,-0.8878829104317648,1.7924820185538823,0.8042403970045028,-0.08031221401493384,-0.00750002715402626,0.08172268625224995,-0.02992060495149885,-0.00453700802195297,-0.21266772357875308,-0.6645809906054596,-0.8701765874092859,1.7147906890672946,1.1428732066474585,1.4710652303864298,0.43327719892010547,2.501947386452979,-1.244849806055622
2014-06-20,-0.8251178601231759,-0.653942103355137,-1.4069987252763676,-0.9920289117001608,1.6807584646179172,1.7924820185538823,0.2653067059912286,-0.6043367380430715,0.6509176546972495,-0.08031221401493384,-0.00750002715402626,0.08172268625224995,-0.7134607225775119,-0.8701765874092859,0.4887860555459512,-0.24319007953081972,1.7147906890672946,1.1428732066474585,2.449165480479026,-1.628325989715191
2014-06-21,-0.831232194958411,-0.8811945965535863,-0.8251178601231759,-0.653942103355137,-0.1657888408228812,1.6807584646179172,0.5031024036631285,0.22276888825281105,0.3242859205551749,0.2653067059912286,-0.6043367380430715,0.6509176546972495,-0.9248013857878642,-0.8701765874092859,-0.5730044516668732,-0.17265794623261876,0.4887860555459512,-0.24319007953081972,2.330797537084681,-1.7219497422763492
2014-06-22,-0.8747119093423043,-0.9520261138323386,-0.831232194958411,-0.8811945965535863,0.16190846352667748,-0.1657888408228812,0.3680660656499999,0.5072187249318457,-0.14215865919753015,0.5031024036631285,0.22276888825281105,0.3242859205551749,-0.8820512665068408,-0.8701765874092859,0.430587039067224,-0.41524573803097625,-0.5730044516668732,-0.17265794623261876,2.3348491093364694,-1.845268639777712
2014-06-23,-0.9779762310040492,-1.035181357934928,-0.8747119093423043,-0.9520261138323386,-0.01858253929061424,0.16190846352667748,0.28202156978187776,0.01832056813975601,0.3288057323744838,0.3680660656499999,0.5072187249318457,-0.14215865919753015,-0.5516546644899629,-0.8701765874092859,-0.01751806433705533,-0.31265354414268415,0.430587039067224,-0.41524573803097625,1.843431196945248,-1.7856601930971492
2014-06-24,-0.9582744854238476,-0.9623457394493864,-0.9779762310040492,-1.035181357934928,0.15757517222730583,-0.01858253929061424,0.3618082841323176,-0.08199879390329709,0.429145554763147,0.28202156978187776,0.01832056813975601,0.3288057323744838,-0.29070081137871745,-0.8701765874092859,0.9592964141204452,1.172795929864877,-0.01751806433705533,-0.31265354414268415,1.5986406294358977,-1.276416638458583
2014-06-25,-0.7745726921519008,-0.884910326485907,-0.9582744854238476,-0.9623457394493864,1.4304951917484283,0.15757517222730583,0.9242675676491968,0.6667984696163636,0.7973595576428653,0.3618082841323176,-0.08199879390329709,0.429145554763147,-0.4241901544277943,-0.8701765874092859,0.32539163369487795,0.6812083341501439,0.9592964141204452,1.172795929864877,1.731746409215036,-1.3761391765554976
2014-06-26,-1.0465926552661309,-0.9333012279300992,-0.7745726921519008,-0.884910326485907,1.5765082681402878,1.4304951917484283,0.969389465960901,0.3252046925330592,0.9236129677955685,0.9242675676491968,0.6667984696163636,0.7973595576428653,-0.9882978864846784,-0.8701765874092859,1.1808898524502436,0.6491482735600528,0.32539163369487795,0.6812083341501439,1.8492662364083492,-2.0990981026203457
2014-06-27,-0.6987549401949876,-0.561036936105846,-1.0465926552661309,-0.9333012279300992,0.04685643946221062,1.5765082681402878,0.3493338907122024,0.9728360171147886,-0.34555019106644214,0.969389465960901,0.3252046925330592,0.9236129677955685,-1.3744634860195084,-0.7011058316028818,1.5746212268438824,0.7121997260538997,1.1808898524502436,0.6491482735600528,1.8673819984623972,-1.8384272364800456
2014-07-01,-0.08052775129900948,-0.14236922628957097,-0.3767333055392805,-0.18723838465125608,1.8440419048840833,1.685280159886826,0.5606575257796993,0.28033611710452033,0.4110663074859101,0.7582716789696438,0.3006539625815947,0.644589918150216,-1.174543810558253,-0.8701765874092859,0.31336930165232463,0.875706035063365,2.0112504678439067,2.28314269496837,1.2276552175912476,-1.164270289198026
2014-07-02,0.07300999011911097,0.19872304246488776,-0.08052775129900948,-0.14236922628957097,1.7620233768119242,1.8440419048840833,0.7575306258951814,0.3637239412500119,0.8998086255472066,0.5606575257796993,0.28033611710452033,0.4110663074859101,-1.0977140925121496,-0.8701765874092859,-0.0467541899859933,-0.45158047336641294,0.31336930165232463,0.875706035063365,0.7831454006845441,-1.0061597657082268
2014-07-03,0.2897291915013277,0.2586703694291749,0.07300999011911097,0.19872304246488776,0.5744503554914636,1.7620233768119242,0.9070998380908204,0.40055003617720825,0.8606369231131936,0.7575306258951814,0.3637239412500119,0.8998086255472066,-0.5731868936866545,-0.8701765874092859,-0.00877455012428927,-0.5157005945465956,-0.0467541899859933,-0.45158047336641294,0.4295633332850751,-1.1153477929364628
2014-07-04,0.1572519367379043,0.4133484294025761,0.2897291915013277,0.2586703694291749,-0.17294819166532016,0.5744503554914636,0.7562131982072484,1.3199325440148009,0.5168299040577444,0.9070998380908204,0.40055003617720825,0.8606369231131936,-0.5162653194233807,-0.8701765874092859,0.4988957438544617,0.20671943741679383,-0.00877455012428927,-0.5157005945465956,0.14502277102791858,-1.2829905943015534
2014-07-05,0.1334739679342128,0.4753924780399528,0.1572519367379043,0.4133484294025761,0.990823128170187,-0.17294819166532016,0.6095258590789625,0.31800878892659484,0.709373887560314,0.7562131982072484,1.3199325440148009,0.5168299040577444,0.03254457583196055,-0.8701765874092859,-0.3115187297413267,-0.5563100046273776,0.4988957438544617,0.20671943741679383,-0.04473232460187947,-1.2258725224362192
2014-07-06,0.33592638803421315,0.5113400048270667,0.1334739679342128,0.4753924780399528,0.9189156131298942,0.990823128170187,0.932501490698778,0.48351457187525937,0.8943848513640354,0.6095258590789625,0.31800878892659484,0.709373887560314,0.41839583625443016,-0.8701765874092859,-0.501963398688146,-0.40028437642226694,-0.3115187297413267,-0.5563100046273776,-0.03901844459606825,-1.193774720822766
2014-07-07,0.5309057322244837,0.7017927669395682,0.33592638803421315,0.5113400048270667,0.9690310690269718,0.9189156131298942,1.306568614841244,0.6257394902147771,1.3114128218922945,0.932501490698778,0.48351457187525937,0.8943848513640354,-0.32980983594156493,-0.8701765874092859,0.7428944373544755,0.6630409664824262,-0.501963398688146,-0.40028437642226694,-0.1291950054681031,-1.0706222344389509
2014-07-08,0.7530598979046871,1.1651682566918664,0.5309057322244837,0.7017927669395682,1.0931264836292574,0.9690310690269718,1.425672311753433,1.38638883026273,1.1101305355390594,1.306568614841244,0.6257394902147771,1.3114128218922945,-0.802261521819343,-0.8701765874092859,0.3609121601842417,0.4086978191343684,0.7428944373544755,0.6630409664824262,-0.19907008767657297,-0.6963062476856869
