date,mean_1m_temp_degC,mean_0_5m_temp_degC,mean_1m_temp_degC_m1,mean_0_5m_temp_degC_m1,total_solar_radiation,total_solar_radiation_m1,total_solar_radiation_m2,mean_air_temp,min_air_temp,max_air_temp,mean_air_temp_m1,min_air_temp_m1,max_air_temp_m1,mean_rel_hum_m1,mean_rel_hum_m2,pump_cfs_m1,pump_cfs_m2,pump_cfs_m3,mean_wind,max_wind,mean_wind_m1,max_wind_m1,nf_cfs_m1,nf_cfs_m2,nf_cfs_m3,nf_cfs_m4,chipmunk_cfs_m1,chipmunk_cfs_m2,chipmunk_cfs_m3,chipmunk_cfs_m4
2024-06-01,-0.8455669132943516,-1.0700919368339519,-1.0298801400498219,-1.0252180169768645,110.27674056486475,145.55625617121245,160.64005130406736,-4.403085791631624,-4.76596765711456,-4.004187198403226,-4.511696382857504,-4.768084099351754,-4.103623058428028,-0.5235606063227467,-0.6047779744788817,-0.8701765874092859,-0.8701765874092859,-0.8701765874092859,-1.568680194111035,3.180311315867713,-1.1236048581135454,1.5149652986264965,1.0016152876921465,0.9500692081825552,0.9704676144119525,0.7657129779696135,-4.172654923069413,-0.5861323230926873,1.871484834551532,0.22474813474791902
2024-06-02,-0.8949571513523037,-0.9304323387730516,-0.8455669132943516,-1.0700919368339519,148.72025968252018,110.27674056486475,145.55625617121245,-4.234599141229572,-4.510583627159672,-3.8113418941127026,-4.403085791631624,-4.76596765711456,-4.004187198403226,-0.3500454162997704,-0.5235606063227467,-0.8701765874092859,-0.8701765874092859,-0.8701765874092859,-1.0483034428228313,2.0696029136629432,-1.568680194111035,3.180311315867713,0.9353749892023862,1.0016152876921465,0.9500692081825552,0.9704676144119525,-3.140322512676855,-4.172654923069413,-0.5861323230926873,1.871484834551532
2024-06-03,-0.6832652919457257,-0.6820314721811295,-0.8949571513523037,-0.9304323387730516,114.38512462560021,148.72025968252018,110.27674056486475,-4.116545269506205,-4.348323055641374,-3.856540012305794,-4.234599141229572,-4.510583627159672,-3.8113418941127026,-0.39728469102919167,-0.3500454162997704,-0.8701765874092859,-0.8701765874092859,-0.8701765874092859,-0.7424257960397458,1.2942567903174194,-1.0483034428228313,2.0696029136629432,0.8644967066875524,0.9353749892023862,1.0016152876921465,0.9500692081825552,-2.6907583984736445,-3.140322512676855,-4.172654923069413,-0.5861323230926873
2024-06-04,-0.7803473417185122,-0.47548873533843383,-0.6832652919457257,-0.6820314721811295,104.46145987302904,114.38512462560021,148.72025968252018,-4.231974578257518,-3.733849326109035,-4.138777150355988,-4.116545269506205,-4.348323055641374,-3.856540012305794,-0.4529816525005616,-0.39728469102919167,-0.8701765874092859,-0.8701765874092859,-0.8701765874092859,0.08369119068977153,1.7342406348036972,-0.7424257960397458,1.2942567903174194,0.9878176486959255,0.8644967066875524,0.9353749892023862,1.0016152876921465,-5.771105106903052,-2.6907583984736445,-3.140322512676855,-4.172654923069413
2024-06-05,-0.8362595369340483,-0.4258362139637323,-0.7803473417185122,-0.47548873533843383,163.66382197276866,104.46145987302904,114.38512462560021,-4.004100757860364,-4.131740466701732,-3.8238969269441174,-4.231974578257518,-3.733849326109035,-4.138777150355988,-0.03168865715944881,-0.4529816525005616,-0.8701765874092859,-0.8701765874092859,-0.8701765874092859,0.04576566036087185,1.4734033068020607,0.08369119068977153,1.7342406348036972,1.2543199909517002,0.9878176486959255,0.8644967066875524,0.9353749892023862,-7.536060518219361,-5.771105106903052,-2.6907583984736445,-3.140322512676855
2024-06-06,-0.4595485740298521,-0.6875964258472116,-0.8362595369340483,-0.4258362139637323,165.97109046127775,163.66382197276866,104.46145987302904,-3.8409404264310107,-4.203699502766368,-3.4326821039172466,-4.004100757860364,-4.131740466701732,-3.8238969269441174,-0.81589598081797865,-0.03168865715944881,-0.8701765874092859,-0.8701765874092859,-0.8701765874092859,-2.045360138715941,-0.1718783005928772,0.04576566036087185,1.4734033068020607,1.531212968264692,1.2543199909517002,0.9878176486959255,0.8644967066875524,-11.831895387272265,-7.536060518219361,-5.771105106903052,-2.6907583984736445
2024-06-07,-0.3446670161811594,-0.6824721750335676,-0.4595485740298521,-0.6875964258472116,120.3077710875565,165.97109046127775,163.66382197276866,-4.001064498735832,-4.223452963646857,-3.5793248873881662,-3.8409404264310107,-4.203699502766368,-3.4326821039172466,-1.000609501718797,-0.81589598081797865,-0.5718164301038667,-0.8701765874092859,-0.8701765874092859,-1.224464782973736,4.070311209763408,-2.045360138715941,-0.1718783005928772,2.1018982439935288,1.531212968264692,1.2543199909517002,0.9878176486959255,-14.013113867295251,-11.831895387272265,-7.536060518219361,-5.771105106903052
2024-06-08,-0.885378026777103,-0.7144015287543339,-0.3446670161811594,-0.6824721750335676,96.08912094179156,120.3077710875565,165.97109046127775,-4.085693789079806,-3.8262673037998924,-3.7355094958109603,-4.001064498735832,-4.223452963646857,-3.5793248873881662,-0.4238659922181734,-1.000609501718797,-0.8701765874092859,-0.5718164301038667,-0.8701765874092859,-1.8700232666156642,1.1380410279428135,-1.224464782973736,4.070311209763408,2.542385566918194,2.1018982439935288,1.531212968264692,1.2543199909517002,-16.74379959801105,-14.013113867295251,-11.831895387272265,-7.536060518219361
2024-06-09,-0.6761319013046182,-1.0820773261737906,-0.885378026777103,-0.7144015287543339,147.86571579788716,96.08912094179156,120.3077710875565,-4.003303096564936,-4.247439309001736,-3.5612456401109296,-4.085693789079806,-3.8262673037998924,-3.7355094958109603,0.5915573947760009,-0.4238659922181734,-0.8701765874092859,-0.8701765874092859,-0.5718164301038667,-2.039726273703315,-0.1604129235378607,-1.8700232666156642,1.1380410279428135,2.8869824489650133,2.542385566918194,2.1018982439935288,1.531212968264692,-16.0611281653321,-16.74379959801105,-14.013113867295251,-11.831895387272265
2024-06-13,-0.4283484821067224,-0.7281799738173279,-0.4696711950348515,-0.9164594659810402,143.65434824336256,142.79103980606675,157.2328314563641,-3.653953180176932,-4.148672004599295,-3.282523911253532,-3.8499205487569603,-4.169836426971246,-3.523580541616686,-0.7424585056927651,-0.3015389620236466,-0.8701765874092859,-0.8701765874092859,-0.8701765874092859,-1.5462821454023008,2.4149973974453305,-1.148613722315936,2.791921668129013,2.5028003490323028,2.8353588274027564,3.0110885042566276,2.832712704855536,-15.295204118911816,-15.794719801359827,-18.27564769085162,-16.677197507017983
