u10,v10,t2m,sdswrf,init_date,horizon,member
12.006455421447754,4.626850605010986,288.6000061035156,586.7360229492188,2026-06-29 06:00,12,c00
1.309350609779358,3.0442700386047363,293.62469482421875,583.1199951171875,2026-06-29 06:00,36,c00
5.214953422546387,1.7422949075698853,292.37884521484375,582.3519897460938,2026-06-29 06:00,60,c00
5.620888710021973,1.427648901939392,293.26507568359375,583.3599853515625,2026-06-29 06:00,84,c00
5.58233642578125,1.6038939952850342,294.51068115234375,568.7680053710938,2026-06-29 06:00,108,c00
3.1069531440734863,0.3394824266433716,295.7392578125,560.4320068359375,2026-06-29 06:00,132,c00
-1.9270215034484863,1.1176855564117432,299.7407531738281,568.1920166015625,2026-06-29 06:00,156,c00
11.599333763122559,3.8842554092407227,287.4999694824219,584.447998046875,2026-06-29 06:00,12,p01
2.180739641189575,3.562243700027466,294.25592041015625,576.6719970703125,2026-06-29 06:00,36,p01
5.390537261962891,2.8694090843200684,293.1072692871094,584.2080078125,2026-06-29 06:00,60,p01
5.417971134185791,0.26287841796875,291.25518798828125,575.8880004882812,2026-06-29 06:00,84,p01
4.994409084320068,2.427748918533325,292.3584289550781,584.0640258789062,2026-06-29 06:00,108,p01
7.479233264923096,0.18629394471645355,289.9305419921875,558.7360229492188,2026-06-29 06:00,132,p01
0.32297852635383606,0.029670409858226776,293.29998779296875,580.5120239257812,2026-06-29 06:00,156,p01
11.021369934082031,6.768613338470459,286.89996337890625,589.10400390625,2026-06-29 06:00,12,p02
4.598669528961182,2.5522704124450684,291.5,590.6240234375,2026-06-29 06:00,36,p02
4.759961128234863,1.4996386766433716,291.8628845214844,584.9439697265625,2026-06-29 06:00,60,p02
4.850900650024414,0.19899901747703552,292.4785461425781,587.0399780273438,2026-06-29 06:00,84,p02
7.127231597900391,2.907641649246216,295.5,589.2000122070312,2026-06-29 06:00,108,p02
6.506877422332764,-0.04402831941843033,294.2171325683594,579.552001953125,2026-06-29 06:00,132,p02
2.812807559967041,-0.40770262479782104,298.4493408203125,569.9520263671875,2026-06-29 06:00,156,p02
10.812556266784668,1.7313013076782227,285.29998779296875,585.9359741210938,2026-06-29 06:00,12,p03
3.6051185131073,2.3227100372314453,293.3999938964844,583.1680297851562,2026-06-29 06:00,36,p03
5.423266410827637,0.521984875202179,289.55169677734375,580.3839721679688,2026-06-29 06:00,60,p03
5.308056831359863,1.6019775867462158,292.506591796875,585.072021484375,2026-06-29 06:00,84,p03
4.070029258728027,0.1402563452720642,293.002197265625,586.2239990234375,2026-06-29 06:00,108,p03
2.4553394317626953,0.7882714867591858,295.8999938964844,488.32000732421875,2026-06-29 06:00,132,p03
-4.562509536743164,0.946093738079071,293.042724609375,517.31201171875,2026-06-29 06:00,156,p03
13.616252899169922,2.994387149810791,287.1000061035156,589.31201171875,2026-06-29 06:00,12,p04
2.460270881652832,3.446425676345825,293.6000061035156,583.10400390625,2026-06-29 06:00,36,p04
4.722761154174805,2.3000707626342773,293.4178771972656,583.0560302734375,2026-06-29 06:00,60,p04
4.3237624168396,0.551464855670929,292.908935546875,579.9840087890625,2026-06-29 06:00,84,p04
4.766394138336182,2.220815420150757,295.20001220703125,519.7760009765625,2026-06-29 06:00,108,p04
-4.180827617645264,-0.6140234470367432,296.4539794921875,568.4639892578125,2026-06-29 06:00,132,p04
-5.04440450668335,0.8687915205955505,293.5831604003906,559.9840087890625,2026-06-29 06:00,156,p04
12.798320770263672,3.7461180686950684,288.6000061035156,589.0239868164062,2026-06-29 06:00,12,p05
2.2588281631469727,3.0208520889282227,294.60736083984375,583.343994140625,2026-06-29 06:00,36,p05
6.295512676239014,1.9095312356948853,290.576904296875,590.2559814453125,2026-06-29 06:00,60,p05
4.097763538360596,0.6417334079742432,291.4156799316406,582.1119995117188,2026-06-29 06:00,84,p05
5.036171913146973,0.9735522270202637,293.29998779296875,569.2639770507812,2026-06-29 06:00,108,p05
