u10,v10,t2m,sdswrf,init_date,horizon,member
4.421480655670166,-0.39661622047424316,286.63153076171875,616.0,2026-06-11 06:00,12,c00
9.665117263793945,-0.40849608182907104,291.9123229980469,600.0,2026-06-11 06:00,36,c00
6.113078594207764,0.6298803687095642,293.20001220703125,591.0,2026-06-11 06:00,60,c00
5.042619705200195,-1.8626636266708374,292.02923583984375,501.0,2026-06-11 06:00,84,c00
4.201686859130859,-2.7923951148986816,289.29998779296875,517.0,2026-06-11 06:00,108,c00
6.305099964141846,-2.63883900642395,292.4722900390625,552.0,2026-06-11 06:00,132,c00
6.684991359710693,-0.7411096096038818,295.96514892578125,581.0,2026-06-11 06:00,156,c00
4.440026760101318,-0.4944750964641571,286.5394287109375,616.0,2026-06-11 06:00,12,p01
10.039799690246582,-0.2551831007003784,291.3123779296875,597.0,2026-06-11 06:00,36,p01
7.443283557891846,-2.00909423828125,291.5213317871094,587.0,2026-06-11 06:00,60,p01
8.030414581298828,-2.226020574569702,290.55401611328125,576.0,2026-06-11 06:00,84,p01
6.278234958648682,-1.151731014251709,289.8380432128906,590.0,2026-06-11 06:00,108,p01
7.781855583190918,-0.9034448266029358,291.06964111328125,562.0,2026-06-11 06:00,132,p01
7.120461463928223,-2.676342725753784,293.3999938964844,578.0,2026-06-11 06:00,156,p01
5.287649154663086,-0.4743627905845642,286.3078918457031,614.0,2026-06-11 06:00,12,p02
8.749885559082031,0.41729736328125,290.8517150878906,600.0,2026-06-11 06:00,36,p02
7.594946384429932,-0.13809815049171448,292.5281066894531,590.0,2026-06-11 06:00,60,p02
4.140915393829346,-0.6845263838768005,291.5404968261719,590.0,2026-06-11 06:00,84,p02
3.1435790061950684,-2.3904736042022705,291.2460021972656,587.0,2026-06-11 06:00,108,p02
9.060202598571777,-4.174167633056641,292.8999938964844,555.0,2026-06-11 06:00,132,p02
7.760732650756836,-3.20758056640625,293.3124694824219,574.0,2026-06-11 06:00,156,p02
5.232120513916016,-0.4438525438308716,286.80316162109375,615.0,2026-06-11 06:00,12,p03
8.83510971069336,0.44367432594299316,292.1720886230469,599.0,2026-06-11 06:00,36,p03
5.508842945098877,-1.147253394126892,292.29998779296875,593.0,2026-06-11 06:00,60,p03
5.862234115600586,-1.4716064929962158,290.9477844238281,587.0,2026-06-11 06:00,84,p03
4.239589691162109,-3.0144739151000977,290.90789794921875,590.0,2026-06-11 06:00,108,p03
7.983254432678223,-2.5262694358825684,291.6000061035156,548.0,2026-06-11 06:00,132,p03
6.302477836608887,-0.9631152153015137,293.6054992675781,581.0,2026-06-11 06:00,156,p03
4.472805023193359,-0.8787133693695068,286.71575927734375,615.0,2026-06-11 06:00,12,p04
8.212305068969727,0.23884521424770355,292.31231689453125,599.0,2026-06-11 06:00,36,p04
7.329713344573975,-0.6197216510772705,292.5167541503906,593.0,2026-06-11 06:00,60,p04
6.952578067779541,-1.6871216297149658,289.4190673828125,541.0,2026-06-11 06:00,84,p04
3.721858024597168,-2.8009984493255615,286.74725341796875,579.0,2026-06-11 06:00,108,p04
4.454448223114014,0.11022216826677322,292.6651611328125,577.0,2026-06-11 06:00,132,p04
7.602870941162109,-0.7467626929283142,295.84619140625,580.0,2026-06-11 06:00,156,p04
4.471474647521973,-0.6627392768859863,286.94732666015625,615.0,2026-06-11 06:00,12,p05
7.866621017456055,0.18418212234973907,291.70001220703125,602.0,2026-06-11 06:00,36,p05
7.374334812164307,-0.0066333007998764515,293.20257568359375,595.0,2026-06-11 06:00,60,p05
2.7176270484924316,1.1143896579742432,291.3212585449219,466.0,2026-06-11 06:00,84,p05
1.318874478340149,-0.8834594488143921,281.6999816894531,301.0,2026-06-11 06:00,108,p05
5.663381576538086,-1.9098217487335205,286.1669921875,585.0,2026-06-11 06:00,132,p05
9.3355712890625,-1.1622484922409058,292.3999938964844,545.0,2026-06-11 06:00,156,p05
4.763185977935791,-1.3787084817886353,286.0236511230469,614.0,2026-06-11 06:00,12,p06
6.599990367889404,0.20351561903953552,289.8999938964844,602.0,2026-06-11 06:00,36,p06
5.322083950042725,1.063507080078125,292.6270446777344,565.0,2026-06-11 06:00,60,p06
5.62164306640625,-1.3460253477096558,286.517822265625,439.0,2026-06-11 06:00,84,p06
3.7938475608825684,-2.652531623840332,288.9999694824219,556.0,2026-06-11 06:00,108,p06
5.025485992431641,-2.8752002716064453,291.1000061035156,573.0,2026-06-11 06:00,132,p06
5.631967544555664,-0.5454516410827637,295.8011474609375,579.0,2026-06-11 06:00,156,p06
4.652812480926514,-0.598156750202179,286.49212646484375,617.0,2026-06-11 06:00,12,p07
9.10329818725586,0.9535302519798279,292.211181640625,596.0,2026-06-11 06:00,36,p07
2.338191032409668,0.11363525688648224,292.5483093261719,594.0,2026-06-11 06:00,60,p07
6.781686782836914,-2.6871068477630615,291.55621337890625,552.0,2026-06-11 06:00,84,p07
5.369330883026123,-1.9498107433319092,289.9280700683594,591.0,2026-06-11 06:00,108,p07
4.265149116516113,-1.875424861907959,291.0,525.0,2026-06-11 06:00,132,p07
4.649187088012695,-0.29786133766174316,294.70947265625,585.0,2026-06-11 06:00,156,p07
4.450302600860596,-0.4857128858566284,287.21630859375,615.0,2026-06-11 06:00,12,p08
7.456298828125,1.0378930568695068,292.4369812011719,601.0,2026-06-11 06:00,36,p08
2.729794979095459,0.5631787180900574,293.21417236328125,590.0,2026-06-11 06:00,60,p08
-2.665517568588257,0.016853027045726776,281.29998779296875,174.0,2026-06-11 06:00,84,p08
-1.0363256931304932,-1.4468029737472534,290.3582458496094,570.0,2026-06-11 06:00,108,p08
3.688894033432007,-2.366931200027466,292.4000244140625,562.0,2026-06-11 06:00,132,p08
6.377690315246582,-1.379797339439392,297.05169677734375,582.0,2026-06-11 06:00,156,p08
3.8365137577056885,-0.03231445327401161,287.0999755859375,615.0,2026-06-11 06:00,12,p09
