u10,v10,t2m,sdswrf,init_date,horizon,member
1.6645312309265137,0.5074999928474426,277.79998779296875,444.0,2026-05-20 06:00,12,c00
3.937363386154175,2.010807991027832,283.43585205078125,561.0,2026-05-20 06:00,36,c00
3.4157323837280273,-0.36479246616363525,278.8710021972656,461.0,2026-05-20 06:00,60,c00
4.660908222198486,-1.30841064453125,283.8000183105469,573.0,2026-05-20 06:00,84,c00
3.6130566596984863,-0.8414160013198853,288.79998779296875,578.0,2026-05-20 06:00,108,c00
-0.14702393114566803,0.7192480564117432,290.7000732421875,503.0,2026-05-20 06:00,132,c00
-1.117224097251892,0.5267309546470642,292.4000549316406,477.0,2026-05-20 06:00,156,c00
1.190527319908142,0.22554443776607513,277.6000061035156,434.0,2026-05-20 06:00,12,p01
3.2644970417022705,2.1890430450439453,282.5711669921875,517.0,2026-05-20 06:00,36,p01
3.1852123737335205,0.2946826219558716,279.45172119140625,539.0,2026-05-20 06:00,60,p01
2.5793848037719727,-0.11771484464406967,280.94390869140625,413.0,2026-05-20 06:00,84,p01
2.6367626190185547,-0.6706860065460205,287.5,583.0,2026-05-20 06:00,108,p01
-0.18797363340854645,0.13413695991039276,288.4891052246094,486.0,2026-05-20 06:00,132,p01
-1.634645938873291,2.924863338470459,290.8194885253906,527.0,2026-05-20 06:00,156,p01
0.7647961378097534,-0.4638696312904358,278.20001220703125,477.0,2026-05-20 06:00,12,p02
0.9826635718345642,3.009401798248291,280.0199279785156,446.0,2026-05-20 06:00,36,p02
2.082517147064209,0.5821704268455505,282.248291015625,535.0,2026-05-20 06:00,60,p02
4.824626445770264,-1.2574877738952637,283.14129638671875,552.0,2026-05-20 06:00,84,p02
4.16134786605835,-0.21216553449630737,288.54913330078125,576.0,2026-05-20 06:00,108,p02
-0.04405761882662773,0.6786962747573853,292.3991394042969,539.0,2026-05-20 06:00,132,p02
1.858577847480774,-0.06716308742761612,291.74151611328125,557.0,2026-05-20 06:00,156,p02
2.8485424518585205,0.07569336146116257,279.4999694824219,506.0,2026-05-20 06:00,12,p03
3.5808935165405273,1.5000829696655273,283.5189514160156,570.0,2026-05-20 06:00,36,p03
1.522973656654358,-0.06033691391348839,281.79998779296875,556.0,2026-05-20 06:00,60,p03
4.053088188171387,-1.3024706840515137,283.74761962890625,550.0,2026-05-20 06:00,84,p03
4.2709059715271,-0.17798584699630737,288.3460693359375,580.0,2026-05-20 06:00,108,p03
4.145495414733887,-1.3129370212554932,290.21234130859375,563.0,2026-05-20 06:00,132,p03
5.3960280418396,-0.07784423977136612,291.1236572265625,576.0,2026-05-20 06:00,156,p03
1.6367725133895874,0.8814746141433716,278.8999938964844,494.0,2026-05-20 06:00,12,p04
2.723383903503418,2.20501708984375,282.849365234375,544.0,2026-05-20 06:00,36,p04
2.1958446502685547,-0.08411864936351776,282.5389709472656,543.0,2026-05-20 06:00,60,p04
5.182299613952637,-0.7325049042701721,282.79998779296875,579.0,2026-05-20 06:00,84,p04
4.578066349029541,-0.9826599359512329,288.2034606933594,575.0,2026-05-20 06:00,108,p04
3.4555394649505615,1.3467553853988647,290.0,504.0,2026-05-20 06:00,132,p04
-2.5310864448547363,2.3093676567077637,285.70001220703125,393.0,2026-05-20 06:00,156,p04
0.78009033203125,0.3505834937095642,277.2034912109375,352.0,2026-05-20 06:00,12,p05
5.226433277130127,2.1145336627960205,283.1351013183594,557.0,2026-05-20 06:00,36,p05
2.579289436340332,0.29805663228034973,284.20001220703125,581.0,2026-05-20 06:00,60,p05
4.142751693725586,-1.575537085533142,284.743896484375,511.0,2026-05-20 06:00,84,p05
1.2258862257003784,-1.0014599561691284,291.0022888183594,583.0,2026-05-20 06:00,108,p05
1.4361376762390137,-0.4222680628299713,290.29998779296875,503.0,2026-05-20 06:00,132,p05
-3.501708984375,0.6385034322738647,289.9568786621094,432.0,2026-05-20 06:00,156,p05
2.7655980587005615,1.2221801280975342,279.32464599609375,449.0,2026-05-20 06:00,12,p06
3.4569311141967773,1.6251879930496216,284.2438659667969,568.0,2026-05-20 06:00,36,p06
2.973313093185425,0.06874755769968033,280.5483093261719,502.0,2026-05-20 06:00,60,p06
3.416147470474243,-0.7228466868400574,285.39996337890625,583.0,2026-05-20 06:00,84,p06
2.503181219100952,-0.49030762910842896,290.1000061035156,574.0,2026-05-20 06:00,108,p06
4.712382793426514,0.8897656202316284,291.3999938964844,561.0,2026-05-20 06:00,132,p06
1.3056176900863647,3.4186229705810547,287.3562927246094,431.0,2026-05-20 06:00,156,p06
3.1071643829345703,0.7866552472114563,279.70343017578125,492.0,2026-05-20 06:00,12,p07
3.9146924018859863,2.2024974822998047,283.03216552734375,554.0,2026-05-20 06:00,36,p07
3.6772046089172363,-0.016323242336511612,280.1999816894531,556.0,2026-05-20 06:00,60,p07
5.788061618804932,-1.2492603063583374,282.20001220703125,588.0,2026-05-20 06:00,84,p07
5.600698471069336,-0.576403796672821,286.916748046875,578.0,2026-05-20 06:00,108,p07
5.131669998168945,1.0676171779632568,289.2110290527344,578.0,2026-05-20 06:00,132,p07
0.2639111280441284,0.027968749403953552,287.15411376953125,364.0,2026-05-20 06:00,156,p07
2.9335596561431885,0.826000988483429,279.10235595703125,476.0,2026-05-20 06:00,12,p08
1.0882275104522705,2.826967716217041,283.1488952636719,524.0,2026-05-20 06:00,36,p08
2.7271387577056885,-0.29408934712409973,280.5032043457031,375.0,2026-05-20 06:00,60,p08
6.530300140380859,-1.302947998046875,283.9650573730469,575.0,2026-05-20 06:00,84,p08
6.070632457733154,-0.057768553495407104,287.4171447753906,493.0,2026-05-20 06:00,108,p08
4.494682788848877,2.7801318168640137,291.0157775878906,572.0,2026-05-20 06:00,132,p08
-2.432856559753418,3.622551202774048,290.02313232421875,486.0,2026-05-20 06:00,156,p08
0.7334960699081421,0.7056713700294495,277.79998779296875,450.0,2026-05-20 06:00,12,p09
3.565640926361084,2.0105249881744385,283.5236511230469,539.0,2026-05-20 06:00,36,p09
2.9260010719299316,-0.07767333835363388,279.8076477050781,503.0,2026-05-20 06:00,60,p09
2.053476572036743,-1.1307373046875,284.650634765625,592.0,2026-05-20 06:00,84,p09
3.393420457839966,-1.2589232921600342,287.658203125,590.0,2026-05-20 06:00,108,p09
3.8882617950439453,0.2787524461746216,289.51031494140625,526.0,2026-05-20 06:00,132,p09
0.07960693538188934,1.4785619974136353,288.29998779296875,456.0,2026-05-20 06:00,156,p09
1.333376407623291,0.4213598668575287,277.602294921875,451.0,2026-05-20 06:00,12,p10
4.241225719451904,2.600637197494507,284.3439025878906,538.0,2026-05-20 06:00,36,p10
2.454335927963257,-0.20048584043979645,282.9662170410156,551.0,2026-05-20 06:00,60,p10
3.5691797733306885,-0.3878442347049713,281.69757080078125,574.0,2026-05-20 06:00,84,p10
3.8456640243530273,-0.30995848774909973,287.7887878417969,582.0,2026-05-20 06:00,108,p10
0.7309668064117432,1.6176636219024658,290.9571228027344,532.0,2026-05-20 06:00,132,p10
4.185141563415527,0.9509179592132568,286.12091064453125,422.0,2026-05-20 06:00,156,p10
2.2649974822998047,0.30714842677116394,279.0157470703125,513.0,2026-05-20 06:00,12,p11
5.616335391998291,3.190930128097534,281.60113525390625,455.0,2026-05-20 06:00,36,p11
2.673518180847168,-1.5258667469024658,281.46966552734375,590.0,2026-05-20 06:00,60,p11
5.613669395446777,0.27421388030052185,283.95611572265625,587.0,2026-05-20 06:00,84,p11
7.823449611663818,-1.7278906106948853,289.10003662109375,519.0,2026-05-20 06:00,108,p11
5.957812309265137,0.14156006276607513,289.96343994140625,573.0,2026-05-20 06:00,132,p11
0.6527124047279358,1.746706485748291,291.96282958984375,504.0,2026-05-20 06:00,156,p11
1.9137927293777466,0.08641601353883743,277.50555419921875,371.0,2026-05-20 06:00,12,p12
6.9068284034729,2.415034294128418,284.04388427734375,568.0,2026-05-20 06:00,36,p12
1.8997730016708374,0.33440184593200684,282.0999755859375,443.0,2026-05-20 06:00,60,p12
4.230322360992432,-0.7383520603179932,283.26165771484375,551.0,2026-05-20 06:00,84,p12
4.138894081115723,-0.9557104706764221,288.3999938964844,576.0,2026-05-20 06:00,108,p12
5.569299221038818,-0.490234375,290.6369934082031,574.0,2026-05-20 06:00,132,p12
3.6822071075439453,0.502795398235321,291.6000061035156,558.0,2026-05-20 06:00,156,p12
