dateTime,parameter,value,code
2026-05-15T08:00:00Z,X_72255,0.35,P
2026-05-15T08:10:00Z,temp_C,8.1,P
2026-05-15T08:10:00Z,flow_cfs,195,P
2026-05-15T08:10:00Z,gauge_ht_ft,8.69,P
2026-05-15T08:10:00Z,specCond_uscm,56,P
2026-05-15T08:10:00Z,pH,7.8,P
2026-05-15T08:10:00Z,chla_rfu,1.52,P
2026-05-15T08:10:00Z,turb_NTU,1.2,P
2026-05-15T08:10:00Z,X_72255,0.35,P
2026-05-15T08:20:00Z,temp_C,8.1,P
2026-05-15T08:20:00Z,flow_cfs,195,P
2026-05-15T08:20:00Z,gauge_ht_ft,8.69,P
2026-05-15T08:20:00Z,specCond_uscm,56,P
2026-05-15T08:20:00Z,pH,7.8,P
2026-05-15T08:20:00Z,chla_rfu,1.24,P
2026-05-15T08:20:00Z,turb_NTU,1.2,P
2026-05-15T08:20:00Z,X_72255,0.35,P
2026-05-15T08:30:00Z,temp_C,8.1,P
2026-05-15T08:30:00Z,flow_cfs,195,P
2026-05-15T08:30:00Z,gauge_ht_ft,8.68,P
2026-05-15T08:30:00Z,specCond_uscm,56,P
2026-05-15T08:30:00Z,pH,7.8,P
2026-05-15T08:30:00Z,chla_rfu,1.58,P
2026-05-15T08:30:00Z,turb_NTU,1.2,P
2026-05-15T08:30:00Z,X_72255,0.35,P
2026-05-15T08:40:00Z,temp_C,8.1,P
2026-05-15T08:40:00Z,flow_cfs,212,P
2026-05-15T08:40:00Z,gauge_ht_ft,8.68,P
2026-05-15T08:40:00Z,specCond_uscm,56,P
2026-05-15T08:40:00Z,pH,7.8,P
2026-05-15T08:40:00Z,chla_rfu,1.41,P
2026-05-15T08:40:00Z,turb_NTU,1.2,P
2026-05-15T08:40:00Z,X_72255,0.38,P
2026-05-15T08:50:00Z,temp_C,8.1,P
2026-05-15T08:50:00Z,flow_cfs,201,P
2026-05-15T08:50:00Z,gauge_ht_ft,8.68,P
2026-05-15T08:50:00Z,specCond_uscm,56,P
2026-05-15T08:50:00Z,pH,7.8,P
2026-05-15T08:50:00Z,chla_rfu,1.14,P
2026-05-15T08:50:00Z,turb_NTU,1.2,P
2026-05-15T08:50:00Z,X_72255,0.36,P
2026-05-15T09:00:00Z,temp_C,8.1,P
2026-05-15T09:00:00Z,flow_cfs,229,P
2026-05-15T09:00:00Z,gauge_ht_ft,8.68,P
2026-05-15T09:00:00Z,specCond_uscm,56,P
2026-05-15T09:00:00Z,pH,7.8,P
2026-05-15T09:00:00Z,chla_rfu,1.44,P
2026-05-15T09:00:00Z,turb_NTU,1.2,P
2026-05-15T09:00:00Z,X_72255,0.41,P
2026-05-15T09:10:00Z,temp_C,8.1,P
2026-05-15T09:10:00Z,flow_cfs,212,P
